"netuid","name","verdict","written"
"3","Teutonic","Miners do best at 3.8: llms.txt states the full contract, an 8x H200 class node, where to read the burn, and the win margin rule, though its 0.5 nat margin lags the live 0.025. Buyers score 1.5 because the only output is a weights link on Hugging Face, with no price, customer or support address. A plain sentence saying who the checkpoint is for would lift buyers most.","2026-09-10"
"8","Vanta","Miners do best at 4.0: docs/miner.md carries 2 CPU cores and 8 GB, collateral of 300 to 1000 Theta at 500 dollars each, a registration fee under 1 TAO, scoring in prose and a 4 hour immunity. Buyers score 3.5 because the only support address sits in llms.txt, and no page gives a status page, an SLA or a network API reference. A status page would lift buyers most.","2026-09-10"
"9","iota","Stakers do best at 3.0: the Scoring, Rewards and Kicking page states a weight formula, peer agreement checks and a kick policy, and the chain contact matches the footer. Buyers score 1.8 because Train at Home is a supply side app, no page names a customer or a price, and Discord is the only support path. A miner guide at the README's dead link would lift miners from 2.5.","2026-09-10"
"53","engy","Buyers do best at 4.5: the docs point any OpenAI-compatible client at api.engy.ai/v1, seven models carry per token prices, a status page shows 90 day uptime, and ning@engy.ai matches the chain contact. Stakers score 3.5 because the status page counts 227 providers but no page gives a usage or revenue figure, and the buyback section sits behind a login. A dated revenue figure outside the login would lift stakers most.","2026-09-10"
"93","Bitcast","Newcomers do best at 3.5: a dashboard dated 2026-09-09 shows 422.3K dollars of revenue, 261.8K in buybacks, and a transaction audit whose rows link to Taostats and Etherscan. Buyers score 1.8 because the brand links open empty JavaScript shells, no page prices a brief, and the only support path is a Discord invite in a 2025 post. A scoring page in prose would lift stakers and miners most.","2026-09-10"
"68","NOVA","Newcomers do best at 3.8: the nova page states in one plain sentence what the subnet does, and the research page carries dated articles, including a July 2026 report and an AUC 0.81 scoring function. Buyers score 2.0 because the partnerships page names biotech and pharma but no price, no endpoint and only a footer email for support. Setting the chain contact would lift stakers and buyers most.","2026-09-10"
"28","SayGM","Buyers do best at 4.5: the front page gives the base URL api.saygm.com/v1 and per model prices per million tokens, the docs carry an OpenAPI reference, and the footer email matches the chain contact. Miners score 3.5 because no page says in prose how traffic or weights are assigned, and registration costs are not stated. A prose page on how weights are set would lift the score most.","2026-09-10"
"91","cascade","Miners do best at 3.3: INTERFACE.md gives the DataGenerator class signature, MINER.md walks seven CLI steps, and ARCHITECTURE.md states the win margin rule and its decay in prose. Buyers score 0.5 because there is no product, price, customer type or support path, and the chain URL lands on an empty testnet page. A front page at that URL saying no product yet, and for whom, would lift buyers most.","2026-09-10"
"110","Green Compute","Buyers do best at 3.8: the enterprise page carries a curl example against api.green-compute.com, GPU prices of 0.40 and 0.70 dollars an hour, and a sales address promising a reply within 24 hours. Miners score 1.8 because there is no repository, no task spec, no scoring formula and no miner guide, only an application form. A public repository with a miner guide and scoring formula would lift miners most.","2026-09-10"
"75","Hippius","Buyers do best at 4.5: the S3 endpoint at s3.hippius.com works with boto3 and rclone examples, prices run from 6.00 to 4.65 dollars per TB, and a status page carries dated updates. Miners score 3.5 because the 70/30 bandwidth and storage weight split sits in a repo file the README never links, and the registration cost is unstated. Linking readme_weights.md from the README would lift miners and stakers most.","2026-09-10"
"58","greevils","Miners do best at 3.5: the CLI README sets the entry.py contract, and incentive.md gives pairwise scoring with a constants table. Buyers score 2.3 because the app is a trading terminal behind a wallet connect, the only price is a 5 basis point fee in the validator repo, and the chain contact is not on the site. A chain description and a site link to incentive.md would lift stakers most.","2026-09-10"
"38","ChronoLLM","Newcomers do best at 3.5: the front page says in one plain sentence that each model trains only on data before its cutoff, with About and FAQ sections below. Buyers score 3.0 because the institutional tier has no price, the hosted API shows no endpoint URL, and the chain contact appears on no page. An API reference with the endpoint URL and chain contact would lift buyers most.","2026-09-10"
"56","Gradients","Miners do best at 4.0: docs/miner.md, called the single source of truth, gives a response schema, example code, payouts of 76/19/5 across ranks and a 2.0 champion multiplier. Stakers score 3.0 because the latest news post dates from November 2025, no page gives a usage or revenue figure, and the chain discord and additional fields hold the text None. A dated usage figure on the site would lift stakers most.","2026-09-10"
"118","Ditto","Miners do best at 4.0: the mining docs give a memory tools contract with a starter kit, a submission fee near 5 dollars, and deterministic grading with a 0.007 gate to dethrone. Newcomers score 3.3 because the chain description, Open-Source Claude Cowork, appears nowhere on the site, there is no about page, and the stated difference is unified memory. A chain description matching the site would lift the score most.","2026-09-10"
"124","Swarm","Miners do best at 4.3: the autopilot spec carries observation and action tables, min_compute.yml asks for 3 cores and no GPU, and the miner guide scores 0.45 success plus 0.45 time plus 0.10 safety. Buyers score 2.0 because the site promises SDKs and APIs with no endpoint or price, and the chain contact appears nowhere. A chain description and an on-site contact would lift stakers and buyers most.","2026-09-10"
"61","RedTeam","Miners do best at 3.3: a versioned docs site carries a getting started guide, hardware minimums of 2 cores and 8 GB, and a changelog dated 2026-09-09. Buyers score 1.8 because there is no product page or API, enterprise bounties sit in the whitepaper in future tense, and no page gives a price. One scoring page with a single decay period would lift stakers and miners most.","2026-09-10"
"83","CliqueAI","Miners do best at 2.8: mechanism.md states the score as optimality times one plus difficulty, plus diversity, smoothed at a rate of 0.01. Buyers score 0.5 because there is no way to submit a graph, no price, no customer type, no support address, and the chain contact domain does not resolve. A plain no product yet statement with a working contact would lift buyers most.","2026-09-10"
"5","Hone","Miners do best at 2.5: DESIGN.md states the reward rule, a fully correct answer scores 0.95 to 1.0 and anything else zero, and DEMO_MINER.md shows a POST /solve request with five sample challenges. Buyers score 0.3 because there is nothing to buy, no price, no support path and no contact anywhere. A plain paragraph saying what Hone produces and for whom, with a contact, would lift the score most.","2026-09-10"
"90","KubeTEE","Stakers do best at 4.3: the revenue dashboard shows 10k dollars recycled since Aug 23 with dated swaps refreshed September 9, and the README separates what ships from what is designed. Buyers score 2.8 because the gateway offers a Swagger page with no sign up path, prices sit only on a dashboard card, and support is Discord. A pricing page with a sign up path would lift buyers most.","2026-09-10"
"34","BitMind","Buyers do best at 4.3: the docs give api.bitmind.ai with a curl example, tiers from free to 100 dollars a month, and a live detector on the site. Stakers score 3.0 because the chain identity holds 3 of 7 fields with no url or description, and the contact differs from the docs address. Setting subnet_url, description and a matching contact would lift stakers and newcomers most.","2026-09-10"
"62","Ridges","Miners do best at 4.5: the agent contract page defines one function returning a unified diff, the upload fee is about 5 dollars, and the incentive page works the numbers, a 0.50 leader needs 0.515 to beat. Buyers score 3.3 because Ridgeline costs 9.99 dollars a month but no page shows an example, a status page or the chain contact. A dated Ridgeline usage figure would lift stakers most.","2026-09-10"
"19","blockmachine","Buyers do best at 4.5: llms.txt lists endpoints for 11 chains with curl examples and a plan table from free to 999 dollars a month, the pricing page compares costs against Alchemy, and team@blockmachine.io matches the chain contact. Miners score 4.0 because the README registers on testnet with no mainnet cost, and no page gives a worked scoring example. A status page with uptime history would lift buyers most.","2026-09-10"
