"netuid","name","audience","q","agent_score","status","url","note","link_result","why_queued","decision","reviewer_note"
"120","Affine","buyers","q4","2","verified","https://www.affine.io/docs","Swagger UI for the dashboard API only (Affine dashboard, the api/v1 routes listed in llms.txt), subnet_contact hello@affine.io appears nowhere on the site or in the repo","live","top or bottom 5 by composite","",""
"120","Affine","newcomers","q1","2","verified","https://github.com/AffineFoundation/affine","""teacher-anchored distillation subnet (validator, evalsrv, research harness)"" is the repo blurb, llms.txt opens technically, chain description Reason Mining is a tag, no plain paragraph anywhere","live","top or bottom 5 by composite","",""
"120","Affine","newcomers","q2","1","verified","https://www.affine.io/llms.txt","""not an LLM judge"" is the only contrast in own materials, no comparison with a centralized service, third-party guides supply the permissionless framing","live","top or bottom 5 by composite","",""
"120","Affine","newcomers","q3","3","verified","https://affine.io/api/v1/snapshot","live JSON snapshot with the current king crowned 2026-09-08 and a queued challenger, dashboard panels read loading to a fetcher, chat with the king, no dated benchmark, no explanation of the numbers","live","top or bottom 5 by composite","",""
"120","Affine","newcomers","q4","2","verified","https://www.affine.io/","subnet_name Affine matches the AFFINE header, description Reason Mining is not a sentence and appears nowhere on the site, url resolves without a scheme, no about or learn page","live","top or bottom 5 by composite","",""
"64","Chutes","stakers","q1","5","verified","https://chutes.ai","""Chutes is the leading open-source, decentralized compute provider for deploying, scaling and running open-source models in production."" per 1M token and per GPU hour prices on the pricing page","live","score 5; top or bottom 5 by composite","",""
"64","Chutes","stakers","q2","4","verified","https://chutes.ai","""Powering Trillions of Tokens per Month"" undated, logos for OpenRouter, Kilo, FetchAI, Phala and Pax Historia on the front page, no dated figure and no usage dashboard","live","top or bottom 5 by composite","",""
"64","Chutes","stakers","q3","4","verified","https://chutes.ai/docs/miner-resources/scoring","scoring page with four weighted metrics, a 7 day window and an Anti-Gaming Mechanisms section (multi UID punishment, median rates), two clicks from the docs root, written for miners","live","top or bottom 5 by composite","",""
"64","Chutes","stakers","q4","4","verified","https://raw.githubusercontent.com/chutesai/chutes-api/main/README.md","identity 7 of 7, github, url and discord resolve, support address matches the help page, no staker page, the chutes-api README tells validators to use a child hotkey rather than run one","live","top or bottom 5 by composite","",""
"64","Chutes","miners","q1","3","verified","https://chutes.ai/docs/miner-resources/overview","""The goal of mining on chutes is to provide as much compute as possible, optimizing for cold start times"" miners host GPU nodes in a kubernetes cluster, no request or response schema","live","top or bottom 5 by composite","",""
"64","Chutes","miners","q2","3","verified","https://chutes.ai/docs/miner-resources/overview","""if you are using a server with 4x a40 GPUs (48GB VRAM), the server must have >= 48 4 = 192 GB of RAM"" chutes-miner README requires Intel TDX VMs, no hardware table, registration cost not stated","live","top or bottom 5 by composite","",""
"64","Chutes","miners","q3","4","verified","https://chutes.ai/docs/miner-resources/scoring","weights in prose, compute units 55 percent, invocations 25, unique chutes 15, bounties 5, 7 day window, one rewarded hotkey per coldkey, no example numbers, no immunity or deregistration policy","live","top or bottom 5 by composite","",""
"64","Chutes","miners","q4","3","verified","https://raw.githubusercontent.com/chutesai/chutes-miner/main/README.md","step by step ansible and sek8s guide, repo pushed 2026-08-30, no tagged releases, the docs site overview still describes GraVal and Wireguard while this README says GraVal is no longer supported","live","top or bottom 5 by composite","",""
"64","Chutes","buyers","q1","5","verified","https://chutes.ai/docs/getting-started/quickstart","""Get your first chute deployed in under 10 minutes!"" with a curl example, the front page posts to https://llm.chutes.ai/v1/chat/completions in Python, model catalog at chutes.ai/models","live","score 5; top or bottom 5 by composite","",""
"64","Chutes","buyers","q2","5","verified","https://chutes.ai/pricing","""Pay per token. No subscription, no minimum, no markup."" per model prices per 1M tokens, GPU rates from $1.80 per hour, Plus $10 and Pro $20 plans, Enterprise with contact sales","live","score 5; top or bottom 5 by composite","",""
"64","Chutes","buyers","q3","4","verified","https://status.chutes.ai","""All services are online"" with daily uptime history for website and API, help page lists docs, Discord, support@chutes.ai and a sales form, no SLA or response time","live","top or bottom 5 by composite","",""
"64","Chutes","buyers","q4","5","verified","https://chutes.ai/docs/api-reference/overview","REST reference index with endpoint counts per area, base URL https://api.chutes.ai in llms.txt, support@chutes.ai on the help page matches the chain subnet_contact","live","score 5; top or bottom 5 by composite","",""
"64","Chutes","newcomers","q1","4","verified","https://chutes.ai/docs","""Chutes is a decentralized, serverless inference platform for open-source AI models."" one click from the front page, consistent with the chain description, serverless and inference unexplained","live","top or bottom 5 by composite","",""
"64","Chutes","newcomers","q2","3","verified","https://chutes.ai/llms.txt","""unlike Replicate, Modal, RunPod, fal.ai, or Baseten, which all rely on centralized cloud providers"" the only comparison lives in the machine facing llms.txt","live","top or bottom 5 by composite","",""
"64","Chutes","newcomers","q3","4","verified","https://chutes.ai/models","live catalog with per token prices, status page with daily uptime, chat app needs sign in, the usage figure on the front page is undated, no dated benchmark","live","top or bottom 5 by composite","",""
"64","Chutes","newcomers","q4","4","verified","https://chutes.ai/team","subnet_name matches the site, url resolves, team and docs pages serve as about and learn pages, the description Breakthrough Serverless Compute for AI, At Scale is a headline phrase without a verb","live","top or bottom 5 by composite","",""
"97","Albedo","stakers","q1","3","verified","https://albedo.tech/llms.txt","""King-of-the-hill trajectory-distillation subnet on Bittensor (netuid 97, finney)."" Output is a crowned fine-tuned Qwen3.6-35B-A3B checkpoint, no unit or price, stated in a machine facing llms.txt linked from the front page nav, chain description reads Alchemical intelligence","live","top or bottom 5 by composite","",""
"97","Albedo","stakers","q2","1","inferred","https://chat.albedo.tech/","nothing on users, customers, revenue or usage in own materials, the only sign of use is a Chat with the King link that opens an Open WebUI instance, third-party pages add nothing on demand","live","top or bottom 5 by composite","",""
"97","Albedo","stakers","q3","3","verified","https://raw.githubusercontent.com/unarbos/albedo/main/docs/SCORING.md","SCORING.md names anti-gaming steps (reference leak filtering, prompt injection stripping, looped trajectories scored zero) and a failure rule (eval fails below 0.8 valid samples), lives in the repo docs folder with no README pointing to it, needs the mechanism vocabulary, llms.txt says a 3 percent margin while SCORING.md and MINING.md say 2.5","live","top or bottom 5 by composite","",""
"97","Albedo","stakers","q4","2","verified","https://github.com/unarbos/albedo","identity 6 of 7 but the discord field is the handle @arbos not a link, subnet_url is a hippius redirect page to albedo.tech, github resolves to a repo with no README, no staker or validator page","live","top or bottom 5 by composite","",""
"97","Albedo","miners","q1","3","verified","https://raw.githubusercontent.com/unarbos/albedo/main/docs/MINING.md","""Albedo is a king-of-the-hill subnet for Qwen3.6-35B-A3B language models."" Miner fine-tunes that model, uploads to HuggingFace or Hippius and commits a v7 reveal on chain, model constraints stated (F16 or BF16, no py files, metadata byte for byte), no worked example, three clicks from the front page via a repo with no README","live","top or bottom 5 by composite","",""
"97","Albedo","miners","q2","2","verified","https://raw.githubusercontent.com/unarbos/albedo/main/docs/MINING.md","""Registration costs recycled TAO"" with no figure (chain burn 0.21 TAO today), no hardware statement for miners anywhere, competitiveness stated only as beating the king by the 2.5 percent margin in two separate evals","live","top or bottom 5 by composite","",""
"97","Albedo","miners","q3","3","verified","https://raw.githubusercontent.com/unarbos/albedo/main/docs/SCORING.md","duel scoring by checklist with four equal weighted tag categories, a 2.5 point absolute margin and two SUCCEEDED runs to promote, rolling 5 slot king chain for emissions in llms.txt, no example numbers, no immunity or deregistration policy, margin contradicts the 3 percent in llms.txt","live","top or bottom 5 by composite","",""
"97","Albedo","miners","q4","3","verified","https://raw.githubusercontent.com/unarbos/albedo/main/docs/MINING.md","step by step guide with albedo CLI commands (validate, upload, check, register, commit), repo pushed 2026-09-09, no releases, no dates on the guide, no README to reach it from","live","top or bottom 5 by composite","",""
"97","Albedo","buyers","q1","3","verified","https://albedo.tech","""Chat with the King"" link to chat.albedo.tech which loads an Open WebUI app, no product page, no API, no example, the rest of the front page renders as loading placeholders","live_unconfirmed","top or bottom 5 by composite; link live_unconfirmed","",""
"97","Albedo","buyers","q2","0","inferred","","no pricing and no customer type anywhere in own or third-party materials","","score 0; top or bottom 5 by composite","",""
"97","Albedo","buyers","q3","0","inferred","","no status page, SLA, support address or support path on the site or in the repo, the eval-service-status.md file is an internal runbook, the discord field is a handle not a link","","score 0; top or bottom 5 by composite","",""
"97","Albedo","buyers","q4","2","inferred","https://github.com/unarbos/albedo","no API reference, subnet_contact arbos@bittensor.com is set on chain but appears on no page fetched","live","top or bottom 5 by composite","",""
"97","Albedo","newcomers","q1","2","verified","https://github.com/unarbos/albedo","""Trajectory-distillation king-of-the-hill Bittensor subnet"" is the repo blurb and the only prose a reader reaches from the front page, chain description Alchemical intelligence is a tag, no plain paragraph on the site","live","top or bottom 5 by composite","",""
"97","Albedo","newcomers","q2","1","inferred","https://albedo.tech/llms.txt","own materials contrast the duel with a benchmark run, not with a centralized service, third-party search snippets supply the only plain claim about permissionless competition","live","top or bottom 5 by composite","",""
"97","Albedo","newcomers","q3","2","verified","https://albedo.tech","sections named benchmarks, reign, queue, history and fails exist on the front page but render as loading placeholders to a fetcher, the chat app loads, no dated benchmark, no explanation of the numbers","live_unconfirmed","top or bottom 5 by composite; link live_unconfirmed","",""
"97","Albedo","newcomers","q4","2","verified","https://albedo.tech","subnet_name Albedo matches the site header ALBEDO, description is not a sentence, url resolves through a redirect page, no about or learn page, discord field is not a link","live_unconfirmed","top or bottom 5 by composite; link live_unconfirmed","",""
"4","Targon","newcomers","q4","5","verified","https://targon.com/mission","subnet_name Targon matches the site, description is a full sentence, url resolves, the mission page serves as about","live","score 5","",""
"80","OpenRoboto","stakers","q1","3","verified","https://www.openroboto.ai/","""An open competition on Bittensor for continuously improving robotics models."" matches the chain description word for word, output is open model checkpoints on Hugging Face, no unit, no price","live_unconfirmed","link live_unconfirmed","",""
"80","OpenRoboto","stakers","q2","3","verified","https://www.openroboto.ai/#/benchmark","""3 ranked submissions refreshed Sep 10"" champion 0.841 dated Sep 09, 48 submissions on the front page, the arena telemetry panel on the same page reads 0 submissions, no customers or revenue","live_unconfirmed","link live_unconfirmed","",""
"80","OpenRoboto","stakers","q4","3","verified","https://www.openroboto.ai/#/docs","identity 5 of 7, discord and additional not set, github and url resolve, contact address not on the site, a For Validators page and VALIDATOR.md exist, no staker or tokenomics page","live_unconfirmed","link live_unconfirmed","",""
"80","OpenRoboto","miners","q1","4","verified","https://www.openroboto.ai/#/docs","""Fine-tune the official base model"" then ""Publish a complete merged checkpoint to Hugging Face and submit on chain"" with the required checkpoint layout and a CLI walkthrough","live_unconfirmed","link live_unconfirmed","",""
"80","OpenRoboto","buyers","q1","3","verified","https://www.openroboto.ai/","""Pull the base model, fine-tune it, submit the weights on-chain."" outputs are open checkpoints and an Open Data Pool, no product, API or app for buyers","live_unconfirmed","link live_unconfirmed","",""
"80","OpenRoboto","buyers","q2","1","verified","https://www.openroboto.ai/","""Host specific policy tournament based on real factory need"" is the only mention of a customer, no customer type statement and no pricing anywhere","live_unconfirmed","link live_unconfirmed","",""
"80","OpenRoboto","buyers","q3","2","verified","https://www.openroboto.ai/#/docs","""Open an issue on GitHub, we read everything"" is the support path, no status page, SLA or response expectation, no Discord on chain","live_unconfirmed","link live_unconfirmed","",""
"80","OpenRoboto","newcomers","q1","4","verified","https://www.openroboto.ai/","""Pull the base model, fine-tune it, submit the weights on-chain. A model only replaces the base if it scores better."" on the front page under the chain description, fine-tune and on-chain unexplained","live_unconfirmed","link live_unconfirmed","",""
"80","OpenRoboto","newcomers","q2","4","verified","https://www.openroboto.ai/","""Most of the strongest robot models today are built inside a few private labs. We build them in the open."" openness versus private labs stated on the front page, no cost or coverage comparison","live_unconfirmed","link live_unconfirmed","",""
"80","OpenRoboto","newcomers","q3","4","verified","https://www.openroboto.ai/#/benchmark","live leaderboard with scores against a 0.286 base, submissions dated Sep 05 to Sep 09 and per row audit links, the telemetry panel above it reads zero, page renders only with JavaScript","live_unconfirmed","link live_unconfirmed","",""
"80","OpenRoboto","newcomers","q4","3","verified","https://www.openroboto.ai/","subnet_name matches the site, url resolves, description is a noun phrase without a verb, no about page, the docs and roadmap sections are the only learn pages","live_unconfirmed","link live_unconfirmed","",""
"3","Teutonic","stakers","q1","4","verified","https://raw.githubusercontent.com/unarbos/teutonic/main/README.md","""Teutonic is a king-of-the-hill pretraining system for Bittensor subnet 3. Miners submit immutable model checkpoints."" Output is a crowned checkpoint, no price, chain says Coordinated Learning","live_unconfirmed","link live_unconfirmed","",""
"3","Teutonic","miners","q4","4","verified","https://raw.githubusercontent.com/unarbos/teutonic/main/README.md","README miner CLI guide matches llms.txt last verified 2026-08-24, repo pushed 2026-09-09, no tagged releases, eval parameters in the guide lag the live manifest","live_unconfirmed","link live_unconfirmed","",""
"3","Teutonic","buyers","q2","0","inferred","","no pricing and no customer type in any own or third party material","","score 0","",""
"3","Teutonic","newcomers","q1","2","verified","https://raw.githubusercontent.com/unarbos/teutonic/main/README.md","""Teutonic is a king-of-the-hill pretraining system for Bittensor subnet 3."" Technical opening, the site is a dashboard of numbers, the plainest account is the llms.txt TL, DR written for agents","live_unconfirmed","link live_unconfirmed","",""
"8","Vanta","buyers","q2","5","verified","https://www.vantatrading.io/pricing","""Execute your strategy on Vanta's institutional-grade platform."" tiers from a $1,000 account for $9 to $100,000 for $599, customer types on the network front page: traders, quants, agents, prop firms","live","score 5","",""
"8","Vanta","newcomers","q2","5","verified","https://www.vantanetwork.io/","""A different model at every level"" heads a Vanta Network versus Traditional Prop Firms table on the front page: scoring, rules, payouts, participation, auditability, B-book versus A-book","live","score 5","",""
"9","iota","stakers","q2","2","verified","https://iota.macrocosmos.ai/dashboard","""Loss 0.0000 Tokens 0.00B Active nodes 0 Parameters 0.0B"" on the live dashboard while the front page says Project Orion is Live, no customers or revenue","live_unconfirmed","link live_unconfirmed","",""
"9","iota","newcomers","q2","3","verified","https://docs.macrocosmos.ai/product-and-services/tah.md","""a distributed AI ecosystem powered by people, not datacenters"" and the front page economic alternative claim, no cost, ownership or coverage comparison with numbers","live_unconfirmed","link live_unconfirmed","",""
"9","iota","newcomers","q3","2","verified","https://iota.macrocosmos.ai/dashboard","the dashboard is live but every counter reads zero, results are claimed in an arXiv paper dated July 2025 and substack posts, no dated benchmark on the site","live_unconfirmed","link live_unconfirmed","",""
"53","engy","stakers","q1","5","verified","https://engy.ai","""The fuel for a world run by agents."" with a per 1M token price table for seven models on the front page, README opens Verified inference for frontier open models which is the chain description word for word, unit is tokens","live","score 5; top or bottom 5 by composite","",""
"53","engy","stakers","q2","2","verified","https://engy.ai/status","""qwen3.6-35b-a3b | 227 providers | operational | 99.90% uptime"" is supply and uptime, no usage, revenue or customer figure on any own page, a Buyback and Burn section sits behind the provider login","live","top or bottom 5 by composite","",""
"53","engy","stakers","q3","4","verified","https://raw.githubusercontent.com/hanlinai/engy/main/docs/SN53_ONE_PAGER.md","one pager linked from the README names four scoring gates (acceptance 99 percent, two latency SLAs, cheat verdict rate 1 percent), anti wash trading (only paid 2xx traffic scores), an INT4 versus FP8 cheat experiment (0.55 against 0.18) and the rule that scoring never bans, technical register","live","top or bottom 5 by composite","",""
"53","engy","stakers","q4","3","verified","https://raw.githubusercontent.com/hanlinai/engy/main/README.md","identity 5 of 7, discord and additional not set though the site links a Discord invite, github and url resolve, contact ning@engy.ai in the README matches the chain, VALIDATOR.md describes a relay only light validator, no staker page","live","top or bottom 5 by composite","",""
"53","engy","miners","q1","4","verified","https://raw.githubusercontent.com/hanlinai/engy/main/docs/MINER.md","""serves buyer requests routed from a gateway on a local sglang serve and returns, with each completion, a compact TOPLOC proof"" requests arrive over a WebSocket from the gateway, no request or response schema shown","live","top or bottom 5 by composite","",""
"53","engy","miners","q2","3","verified","https://raw.githubusercontent.com/hanlinai/engy/main/docs/MINER.md","""4 × RTX 4090 (24 GB), Qwen3.6-35B-A3B-FP8"" as the reference config and MAX_INFLIGHT minimum 8, a miner key comes from provider.engy.ai behind a login, chain registration cost not stated (burn 0.0005 TAO today), competitiveness stated as gates in the separate one pager","live","top or bottom 5 by composite","",""
"53","engy","miners","q3","4","verified","https://raw.githubusercontent.com/hanlinai/engy/main/docs/SN53_ONE_PAGER.md","weight formula floor of tokens times score_rate per model, four gates, a fresh key starts at zero, a miner that trips a gate earns nothing that epoch and recovers the next, cheat experiment numbers, split between the one pager and MINER.md and written for engineers","live","top or bottom 5 by composite","",""
"53","engy","miners","q4","4","verified","https://raw.githubusercontent.com/hanlinai/engy/main/docs/MINER.md","install guide of about five minutes plus model load with env settings, latest release v0.4.1 dated 2026-07-21, repo pushed 2026-09-03, guide undated","live","top or bottom 5 by composite","",""
"53","engy","buyers","q1","5","verified","https://engy.ai/docs","""Point any OpenAI-compatible client at https://api.engy.ai/v1 with your API key."" with integration guides for Claude Code, Cursor and Codex, seven models priced on the front page, agent API reference with a curl example","live","score 5; top or bottom 5 by composite","",""
"53","engy","buyers","q2","4","verified","https://engy.ai/pricing","""Per-token, pay as you go. No subscriptions and no minimums"" per model input, output and cached prices, the customer named is agents and their builders, no enterprise tier or named customer segment","live","top or bottom 5 by composite","",""
"53","engy","buyers","q3","4","verified","https://engy.ai/status","""All systems operational"" with 90 day uptime per model and for the API gateway, email contact and a Discord invite in the docs footer, no customer SLA and no escalation path stated","live","top or bottom 5 by composite","",""
"53","engy","buyers","q4","5","verified","https://engy.ai/docs/agent-api","agent API reference with base URL engy.ai/api/v1, bearer auth, 120 requests per minute per token and an error envelope, docs page for the inference endpoint, README contact ning@engy.ai matches the chain","live","score 5; top or bottom 5 by composite","",""
"53","engy","newcomers","q1","4","verified","https://raw.githubusercontent.com/hanlinai/engy/main/README.md","""engy serves frontier open models on consumer GPUs, with cryptographic verification that the model you pay for is the model that ran."" one sentence at the top of the README, the front page headline is a slogan, verified inference is left unexplained on the site","live","top or bottom 5 by composite","",""
"53","engy","newcomers","q2","4","verified","https://raw.githubusercontent.com/hanlinai/engy/main/README.md","""No TEEs, no trusted hardware."" plus weights pinned by a published Merkle root and a TOPLOC fingerprint per response, a concrete difference (proof the paid model ran) without a side by side comparison against a centralized provider","live","top or bottom 5 by composite","",""
"53","engy","newcomers","q3","4","verified","https://engy.ai/status","90 day uptime history per model on the status page, an INT4 versus FP8 detection experiment with numbers in the one pager but undated, no public demo without an API key","live","top or bottom 5 by composite","",""
"53","engy","newcomers","q4","4","verified","https://engy.ai","subnet_name engy matches the site, description is a full sentence, url resolves, docs, pricing and status pages but no about page","live","top or bottom 5 by composite","",""
"93","Bitcast","stakers","q2","5","verified","https://bitcast.network/","""CONTENT REWARDED 7,537 · UPDATED 2026-09-09"" with revenue $422.3K, buybacks $261.8K and a transaction audit linking taostats and etherscan, no named brands","live","score 5","",""
"93","Bitcast","newcomers","q3","5","verified","https://bitcast.network/revenue","dated dashboard (LIVE 2026-09-09) with creators, views, rewards, revenue and a transaction audit whose rows link to taostats, etherscan and solscan","live","score 5","",""
"28","SayGM","stakers","q1","5","verified","https://saygm.com/","""Drop-in access to Claude, GPT, and Gemini. Your prompts routed through a verifiable TEE."" matches the chain description and additional field, prices per million tokens in USD on the front page","live","score 5; top or bottom 5 by composite","",""
"28","SayGM","stakers","q2","5","verified","https://saygm.com/miners","""Latest finalized 2026-09-09 23:52 UTC"" with traffic value $648.02, 6,189 requests and 37 miners earning this epoch, per model request counts on model pages, no named customers","live_unconfirmed","score 5; top or bottom 5 by composite; link live_unconfirmed","",""
"28","SayGM","stakers","q3","2","verified","https://raw.githubusercontent.com/taostat/gm-miner/main/README.md","no incentive document, the README covers TEE attestation, key slots and model echo checks as technical notes, miners page says earnings are recomputable from epoch artifacts, no weight formula","live","top or bottom 5 by composite","",""
"28","SayGM","stakers","q4","4","verified","https://saygm.com/miners","identity 6 of 7 with discord not set, github and url resolve, the footer email link decodes to hi@saygm.com matching the chain contact, no staker page but a public per epoch economics page","live_unconfirmed","top or bottom 5 by composite; link live_unconfirmed","",""
"28","SayGM","miners","q1","4","verified","https://docs.saygm.com/mining/overview/","""GM miners supply upstream model capacity and earn the spread between their declared offer and GM's buyer price."" bring provider API keys, deploy the miner image to Phala Cloud, declare products","live","top or bottom 5 by composite","",""
"28","SayGM","miners","q2","3","verified","https://docs.saygm.com/mining/overview/","""A funded Phala Cloud account and API key. A Bittensor hotkey registered on GM's subnet."" no hardware, Phala and registration costs not stated (chain 0.1 TAO), competitiveness only on the miners page","live","top or bottom 5 by composite","",""
"28","SayGM","miners","q3","2","verified","https://saygm.com/miners","share, reliability and discount per miner on the miners page, no prose on how traffic or weights are assigned, README section 5 covers declaring prices, no immunity or deregistration policy","live_unconfirmed","top or bottom 5 by composite; link live_unconfirmed","",""
"28","SayGM","miners","q4","5","verified","https://api.github.com/repos/taostat/gm-miner/releases/latest","README quick start in three steps with gmcli init, release v0.4.17 published 2026-09-09, repo pushed 2026-09-09, docs mining overview last updated Aug 14 2026 matches","live","score 5; top or bottom 5 by composite","",""
"28","SayGM","buyers","q1","5","verified","https://saygm.com/","""Point Cursor, Cline, Claude Code, or your AI SDK at the gm gateway. One base URL. No rewrites."" base URL https://api.saygm.com/v1 on the front page, curl example in the docs quickstart","live","score 5; top or bottom 5 by composite","",""
"28","SayGM","buyers","q2","5","verified","https://saygm.com/","""27% Cheaper than list, on average"" with per model input, cached and output prices per Mtok, no subscription, prepaid credit, developers using coding agents and SDKs named, closed beta per llms.txt","live","score 5; top or bottom 5 by composite","",""
"28","SayGM","buyers","q3","3","verified","https://saygm.com/models/claude-sonnet-4-6","per provider uptime and success rate on each model page, OpenAPI documents 429 and 503 with Retry-After, terms promise no uninterrupted access, no status page or SLA, support by email and Discord","live","top or bottom 5 by composite","",""
"28","SayGM","buyers","q4","5","verified","https://docs.saygm.com/","API reference generated from https://saygm.com/openapi.json with seven operations, the footer email decodes to hi@saygm.com matching the chain subnet_contact","live","score 5; top or bottom 5 by composite","",""
"28","SayGM","newcomers","q1","4","verified","https://saygm.com/","""Say gm to frontier models. Drop-in access to Claude, GPT, and Gemini. Your prompts routed through a verifiable TEE."" on the front page, TEE explained further down","live","top or bottom 5 by composite","",""
"28","SayGM","newcomers","q2","5","verified","https://saygm.com/","""Verified by hardware, not by policy."" plus 27 percent cheaper than list and never more than list on the front page, a blog post compares SayGM with OpenRouter on attestation and price","live","score 5; top or bottom 5 by composite","",""
"28","SayGM","newcomers","q3","5","verified","https://saygm.com/models/claude-sonnet-4-6","benchmarks dated 2026-08-20 on the model page, measured throughput over 945 requests, a live attestation block on the front page, epoch totals dated 2026-09-09 on the miners page","live","score 5; top or bottom 5 by composite","",""
"28","SayGM","newcomers","q4","4","verified","https://docs.saygm.com/","subnet_name SayGM matches the site title, description is a sentence, url resolves, docs and privacy pages serve as learn pages, no about page","live","top or bottom 5 by composite","",""
"91","cascade","stakers","q1","3","verified","https://raw.githubusercontent.com/TensorLink-AI/cascade/main/README.md","""cascade is building state-of-the-art time-series foundation models (TSFMs) on Bittensor."" Output is a trained Toto2-4M forecaster checkpoint per round, no unit or price, the chain description matches, the site front page renders empty","live","top or bottom 5 by composite","",""
"91","cascade","stakers","q2","0","inferred","https://raw.githubusercontent.com/TensorLink-AI/cascade/main/README.md","nothing on users, customers, revenue or usage in the README, llms.txt or docs, the README says no statements about adoption or serving, third-party X posts discuss benchmarks not demand","live","score 0; top or bottom 5 by composite","",""
